  Time                  (V(MagIn))@1          (V(MagIn))@2         
  0.000000000000e+000  6.601813606835e-006  6.601813606835e-006  
  3.450000000000e-011  6.601813627684e-006  6.601813627722e-006  
  6.900000000000e-011  6.601813916240e-006  6.601813916314e-006  
  1.379993612468e-010  6.601817550836e-006  6.601817551001e-006  
  2.759980837405e-010  6.602351933488e-006  6.602351933645e-006  
  5.519955287278e-010  6.630922906206e-006  6.629561666751e-006  
  1.103990418702e-009  6.698563408122e-006  6.711693593916e-006  
  2.207980198652e-009  6.392312201654e-006  6.372316031760e-006  
  4.415959758550e-009  8.620488493224e-006  8.639765279151e-006  
  7.865951103956e-009  6.575476949612e-005  6.574854604531e-005  
  1.131594244936e-008  2.066532047851e-004  2.066624572027e-004  
  1.476593379477e-008  2.718848611566e-004  2.719261828629e-004  
  1.821592514017e-008  -5.894919148181e-005  -5.899691292802e-005  
  2.166591648558e-008  -4.732928687379e-004  -4.733751579359e-004  
  2.511590783098e-008  -1.709225245691e-004  -1.708180242165e-004  
  2.856589917639e-008  4.132275995353e-004  4.133344190565e-004  
  3.201589052179e-008  1.703843784506e-004  1.701721723570e-004  
  3.546588186720e-008  -2.935839975411e-004  -2.935471296271e-004  
  3.891587321261e-008  -5.994179250188e-005  -5.980799908258e-005  
  4.236586455801e-008  3.159156050494e-004  3.157779917923e-004  
  4.581585590342e-008  4.259035149992e-004  4.258909251060e-004  
  4.926584724882e-008  2.024269488978e-004  2.024817788627e-004  
  5.271583859423e-008  -3.269715630023e-004  -3.270972122017e-004  
  5.616582993963e-008  -4.919823818924e-004  -4.920114805060e-004  
  5.961582128504e-008  -1.408265830708e-004  -1.407374870161e-004  
  6.306581263044e-008  4.236956279802e-004  4.236839448111e-004  
  6.651580397585e-008  5.354157971737e-004  5.353963229695e-004  
  6.996579532126e-008  1.554537298899e-004  1.554440480105e-004  
  7.341578666666e-008  -4.124570505853e-004  -3.064375696056e-004  
  7.686577801207e-008  -4.259092341120e-004  -4.259119577298e-004  
  8.031576935747e-008  9.584121827184e-005  9.592693462899e-005  
  8.376576070288e-008  5.491683263612e-004  5.491800931711e-004  
  8.721575204828e-008  2.741850274685e-004  2.741022038266e-004  
  9.000000004000e-008  -1.916159974995e-004  -1.916418844096e-004  
  9.034499917454e-008  -2.307889918417e-004  -2.308046710869e-004  
  9.103501607007e-008  -2.744773656543e-004  -2.744796000643e-004  
  9.241504986114e-008  -2.959637192916e-004  -2.959456351215e-004  
  9.350000004000e-008  -2.274632711869e-004  -2.274323314273e-004  
  9.377600679821e-008  -1.982660956690e-004  -1.982310999635e-004  
  9.432800168819e-008  -1.344798068111e-004  -1.344366868777e-004  
  9.543199146814e-008  1.084616852556e-005  1.089938633841e-005  
  9.763997102804e-008  2.371887368954e-004  2.372121895538e-004  
  1.000000000400e-007  2.525286980886e-004  2.524890052284e-004  
